Tidsstempel,pådrag,tank,referanse
2026-05-03 17:26:38,37,39.939998626708984,40
2026-05-03 17:26:38,38,39.88999938964844,40
2026-05-03 17:26:38,37,39.970001220703125,41
2026-05-03 17:26:38,38,39.939998626708984,41
2026-05-03 17:26:38,38,40.0,41
2026-05-03 17:26:38,37,40.0099983215332,41
2026-05-03 17:26:38,43,39.970001220703125,42
2026-05-03 17:26:39,42,39.95000076293945,42
2026-05-03 17:26:39,41,39.9900016784668,42
2026-05-03 17:26:39,42,40.02000045776367,43
2026-05-03 17:26:39,43,40.0,43
2026-05-03 17:26:39,45,39.97999954223633,43
2026-05-03 17:26:39,45,40.0,44
2026-05-03 17:26:39,46,40.060001373291016,44
2026-05-03 17:26:39,43,40.06999969482422,45
2026-05-03 17:26:40,48,40.09000015258789,45
2026-05-03 17:26:40,49,40.09000015258789,45
2026-05-03 17:26:40,48,40.18000030517578,46
2026-05-03 17:26:40,47,40.27000045776367,46
2026-05-03 17:26:40,45,40.43000030517578,46
2026-05-03 17:26:40,52,40.41999816894531,47
2026-05-03 17:26:40,46,40.630001068115234,47
2026-05-03 17:26:40,44,40.779998779296875,47
2026-05-03 17:26:41,44,40.91999816894531,48
2026-05-03 17:26:41,49,41.099998474121094,48
2026-05-03 17:26:41,41,41.33000183105469,48
2026-05-03 17:26:41,44,41.47999954223633,48
2026-05-03 17:26:41,48,41.52000045776367,49
2026-05-03 17:26:41,49,41.66999816894531,49
2026-05-03 17:26:41,50,41.779998779296875,49
2026-05-03 17:26:41,52,41.83000183105469,49
2026-05-03 17:26:41,48,42.0,49
2026-05-03 17:26:42,42,42.40999984741211,49
2026-05-03 17:26:42,42,42.59000015258789,49
2026-05-03 17:26:42,35,42.959999084472656,49
2026-05-03 17:26:42,41,43.119998931884766,49
2026-05-03 17:26:42,47,43.25,50
2026-05-03 17:26:42,49,43.31999969482422,50
2026-05-03 17:26:42,51,43.459999084472656,50
2026-05-03 17:26:42,43,43.689998626708984,50
2026-05-03 17:26:43,44,43.83000183105469,50
2026-05-03 17:26:43,42,44.099998474121094,50
2026-05-03 17:26:43,43,44.2400016784668,50
2026-05-03 17:26:43,48,44.29999923706055,50
2026-05-03 17:26:43,49,44.380001068115234,50
2026-05-03 17:26:43,40,44.66999816894531,50
2026-05-03 17:26:43,40,44.90999984741211,50
2026-05-03 17:26:43,41,45.04999923706055,50
2026-05-03 17:26:43,44,45.209999084472656,50
2026-05-03 17:26:43,41,45.36000061035156,50
2026-05-03 17:26:44,43,45.400001525878906,50
2026-05-03 17:26:44,39,45.68000030517578,50
2026-05-03 17:26:44,34,45.970001220703125,50
2026-05-03 17:26:44,35,46.31999969482422,50
2026-05-03 17:26:44,41,46.38999938964844,50
2026-05-03 17:26:44,40,46.540000915527344,50
2026-05-03 17:26:44,40,46.7599983215332,50
2026-05-03 17:26:44,44,46.779998779296875,50
2026-05-03 17:26:45,38,47.0099983215332,50
2026-05-03 17:26:45,34,47.220001220703125,50
2026-05-03 17:26:45,36,47.47999954223633,50
2026-05-03 17:26:45,37,47.66999816894531,50
2026-05-03 17:26:45,38,47.790000915527344,50
2026-05-03 17:26:45,41,47.79999923706055,50
2026-05-03 17:26:45,42,47.849998474121094,50
2026-05-03 17:26:45,43,47.93000030517578,50
2026-05-03 17:26:46,37,48.06999969482422,50
2026-05-03 17:26:46,40,48.119998931884766,50
2026-05-03 17:26:46,44,48.119998931884766,50
2026-05-03 17:26:46,44,48.119998931884766,50
2026-05-03 17:26:46,42,48.16999816894531,50
2026-05-03 17:26:46,42,48.2400016784668,50
2026-05-03 17:26:46,40,48.29999923706055,50
2026-05-03 17:26:46,41,48.34000015258789,50
2026-05-03 17:26:46,39,48.43000030517578,50
2026-05-03 17:26:46,39,48.5099983215332,50
2026-05-03 17:26:47,39,48.59000015258789,50
2026-05-03 17:26:47,41,48.61000061035156,50
2026-05-03 17:26:47,39,48.65999984741211,50
2026-05-03 17:26:47,41,48.65999984741211,50
2026-05-03 17:26:47,40,48.709999084472656,50
2026-05-03 17:26:47,40,48.790000915527344,50
2026-05-03 17:26:47,41,48.810001373291016,50
2026-05-03 17:26:47,39,48.81999969482422,50
2026-05-03 17:26:47,42,48.869998931884766,50
2026-05-03 17:26:48,38,48.97999954223633,50
2026-05-03 17:26:48,39,49.040000915527344,50
2026-05-03 17:26:48,41,49.04999923706055,50
2026-05-03 17:26:48,40,49.08000183105469,50
2026-05-03 17:26:48,41,49.06999969482422,50
2026-05-03 17:26:48,41,49.119998931884766,50
2026-05-03 17:26:48,40,49.15999984741211,50
2026-05-03 17:26:48,37,49.22999954223633,50
2026-05-03 17:26:48,37,49.349998474121094,50
2026-05-03 17:26:49,37,49.369998931884766,50
