Tidsstempel,pådrag,tank
2026-03-18 11:26:30,32,55.000000
2026-03-18 11:26:32,32,57.000000
2026-03-18 11:26:34,32,55.000000
2026-03-18 11:26:36,32,55.000000
2026-03-18 11:26:38,32,55.000000
2026-03-18 11:26:40,32,55.000000
2026-03-18 11:26:42,32,56.000000
2026-03-18 11:26:44,32,57.000000
2026-03-18 11:26:46,32,57.000000
2026-03-18 11:26:49,32,55.000000
2026-03-18 11:26:51,32,56.000000
2026-03-18 11:26:53,32,56.000000
2026-03-18 11:26:55,32,57.000000
2026-03-18 11:26:57,32,56.000000
2026-03-18 11:26:59,32,55.000000
2026-03-18 11:27:01,30,57.000000
2026-03-18 11:27:03,30,57.000000
2026-03-18 11:27:05,30,57.000000
2026-03-18 11:27:07,30,56.000000
2026-03-18 11:27:09,30,56.000000
2026-03-18 11:27:11,30,56.000000
2026-03-18 11:27:13,30,57.000000
2026-03-18 11:27:15,30,56.000000
2026-03-18 11:27:17,25,57.000000
2026-03-18 11:27:19,25,57.000000
2026-03-18 11:27:21,25,55.000000
2026-03-18 11:27:23,25,54.000000
2026-03-18 11:27:26,25,53.000000
2026-03-18 11:27:28,25,53.000000
2026-03-18 11:27:30,25,53.000000
2026-03-18 11:27:32,20,50.000000
2026-03-18 11:27:34,20,49.000000
2026-03-18 11:27:36,20,51.000000
2026-03-18 11:27:38,20,47.000000
2026-03-18 11:27:40,20,45.000000
2026-03-18 11:27:42,20,45.000000
2026-03-18 11:27:44,20,44.000000
2026-03-18 11:27:46,20,41.000000
2026-03-18 11:27:48,30,41.000000
2026-03-18 11:27:50,30,41.000000
2026-03-18 11:27:52,30,41.000000
2026-03-18 11:27:54,30,40.000000
2026-03-18 11:27:56,30,40.000000
2026-03-18 11:27:58,30,40.000000
2026-03-18 11:28:00,30,40.000000
2026-03-18 11:28:02,30,40.000000
2026-03-18 11:28:04,30,40.000000
2026-03-18 11:28:06,30,40.000000
2026-03-18 11:28:08,30,40.000000
2026-03-18 11:28:10,30,40.000000
2026-03-18 11:28:13,30,40.000000
2026-03-18 11:28:15,30,40.000000
2026-03-18 11:28:17,30,40.000000
2026-03-18 11:28:19,30,40.000000
2026-03-18 11:28:21,30,40.000000
2026-03-18 11:28:23,30,40.000000
2026-03-18 11:28:25,30,40.000000
2026-03-18 11:28:27,30,40.000000
2026-03-18 11:28:29,30,40.000000
2026-03-18 11:28:31,30,40.000000
2026-03-18 11:28:33,31,40.054849
2026-03-18 11:28:35,31,40.130236
2026-03-18 11:28:37,31,40.759871
2026-03-18 11:28:39,31,41.091692
2026-03-18 11:28:41,31,40.859358
2026-03-18 11:28:43,31,41.255158
2026-03-18 11:28:45,31,41.782712
2026-03-18 11:28:47,31,41.964351
2026-03-18 11:28:49,31,42.271522
2026-03-18 11:28:51,31,42.366230
2026-03-18 11:28:53,31,42.915516
2026-03-18 11:28:55,31,43.127137
2026-03-18 11:28:57,31,43.221632
2026-03-18 11:29:00,31,43.733388
2026-03-18 11:29:02,31,43.820000
2026-03-18 11:29:04,31,43.780021
2026-03-18 11:29:06,31,44.193602
2026-03-18 11:29:08,31,44.141049
2026-03-18 11:29:10,31,44.652273
2026-03-18 11:29:12,31,44.659939
2026-03-18 11:29:14,31,44.804876
2026-03-18 11:29:16,31,44.879438
2026-03-18 11:29:18,31,45.380716
2026-03-18 11:29:20,31,45.286460
2026-03-18 11:29:22,31,45.385917
2026-03-18 11:29:24,31,45.543651
2026-03-18 11:29:26,31,45.842298
2026-03-18 11:29:28,31,45.947283
2026-03-18 11:29:30,31,46.086530
2026-03-18 11:29:32,31,46.216370
2026-03-18 11:29:34,31,46.646886
2026-03-18 11:29:36,31,46.306910
2026-03-18 11:29:38,31,46.402770
2026-03-18 11:29:40,31,46.459756
2026-03-18 11:29:42,31,46.824841
2026-03-18 11:29:44,31,47.021489
2026-03-18 11:29:47,31,46.948053
2026-03-18 11:29:49,31,46.913563
2026-03-18 11:29:51,31,47.009558
2026-03-18 11:29:53,31,47.365287
2026-03-18 11:29:55,31,47.469318
2026-03-18 11:29:57,31,47.517879
2026-03-18 11:29:59,31,47.382213
2026-03-18 11:30:01,31,47.623089
2026-03-18 11:30:03,31,47.679081
2026-03-18 11:30:05,31,47.771782
2026-03-18 11:30:07,31,47.961256
2026-03-18 11:30:09,31,47.914341
2026-03-18 11:30:11,31,48.063782
2026-03-18 11:30:13,31,48.019083
2026-03-18 11:30:15,31,48.122227
2026-03-18 11:30:17,31,48.245076
2026-03-18 11:30:19,31,47.928470
2026-03-18 11:30:21,31,48.190649
2026-03-18 11:30:23,31,48.219131
2026-03-18 11:30:25,31,48.242643
2026-03-18 11:30:28,31,48.385693
2026-03-18 11:30:30,31,48.753979
2026-03-18 11:30:32,31,48.377135
2026-03-18 11:30:34,31,48.753842
2026-03-18 11:30:36,31,48.321725
2026-03-18 11:30:38,31,48.608021
2026-03-18 11:30:40,31,48.739868
2026-03-18 11:30:42,31,48.857024
2026-03-18 11:30:44,31,48.919156
2026-03-18 11:30:46,31,48.972311
2026-03-18 11:30:48,31,48.803893
2026-03-18 11:30:50,31,48.819416
2026-03-18 11:30:52,31,49.091909
2026-03-18 11:30:54,31,48.936767
2026-03-18 11:30:56,31,48.774236
2026-03-18 11:30:58,31,48.831488
2026-03-18 11:31:00,31,48.900596
2026-03-18 11:31:02,31,49.185231
2026-03-18 11:31:04,31,49.150083
2026-03-18 11:31:06,31,49.276527
2026-03-18 11:31:08,31,49.102245
2026-03-18 11:31:10,31,49.233744
2026-03-18 11:31:13,31,49.355355
2026-03-18 11:31:15,31,49.211104
2026-03-18 11:31:17,31,49.372281
2026-03-18 11:31:19,31,49.193450
2026-03-18 11:31:21,31,49.269068
2026-03-18 11:31:23,31,49.286832
2026-03-18 11:31:25,31,49.160751
2026-03-18 11:31:27,31,49.483465
2026-03-18 11:31:29,31,49.330497
2026-03-18 11:31:31,31,49.435808
2026-03-18 11:31:33,31,49.538074
2026-03-18 11:31:35,31,49.549325
2026-03-18 11:31:37,31,49.605576
2026-03-18 11:31:39,31,49.484402
2026-03-18 11:31:41,31,49.441740
2026-03-18 11:31:43,31,49.518887
2026-03-18 11:31:45,31,49.244332
2026-03-18 11:31:47,31,49.301919
2026-03-18 11:31:49,31,49.338204
2026-03-18 11:31:51,31,49.410235
2026-03-18 11:31:53,31,49.674722
2026-03-18 11:31:55,31,49.452386
2026-03-18 11:31:58,31,49.565471
2026-03-18 11:32:00,31,49.879034
2026-03-18 11:32:02,31,49.592309
2026-03-18 11:32:04,31,49.800095
2026-03-18 11:32:06,31,49.509851
2026-03-18 11:32:08,31,49.651147
2026-03-18 11:32:10,31,49.527022
2026-03-18 11:32:12,31,49.646586
2026-03-18 11:32:14,31,49.868149
2026-03-18 11:32:16,31,49.414962
2026-03-18 11:32:18,31,49.812778
2026-03-18 11:32:20,31,49.785799
2026-03-18 11:32:22,31,49.644218
2026-03-18 11:32:24,31,49.498773
2026-03-18 11:32:26,31,49.779695
2026-03-18 11:32:28,31,49.678808
2026-03-18 11:32:30,31,49.823169
2026-03-18 11:32:32,31,49.792163
2026-03-18 11:32:34,31,50.000000
2026-03-18 11:32:36,31,49.758377
2026-03-18 11:32:38,31,49.623534
2026-03-18 11:32:41,31,49.849113
2026-03-18 11:32:43,31,49.862257
2026-03-18 11:32:45,31,50.000000
2026-03-18 11:32:47,31,49.984058
2026-03-18 11:32:49,31,49.903252
2026-03-18 11:32:51,31,50.000000
2026-03-18 11:32:53,31,49.635096
2026-03-18 11:32:55,31,49.738709
2026-03-18 11:32:57,31,49.691720
2026-03-18 11:32:59,31,49.792829
2026-03-18 11:33:01,31,49.619540
2026-03-18 11:33:03,31,49.985882
2026-03-18 11:33:05,31,49.835632
2026-03-18 11:33:07,31,49.614835
2026-03-18 11:33:09,31,49.700598
2026-03-18 11:33:11,31,49.943536
2026-03-18 11:33:13,31,50.000000
2026-03-18 11:33:15,31,50.000000
2026-03-18 11:33:17,31,50.000000
2026-03-18 11:33:19,31,49.975364
2026-03-18 11:33:21,31,49.725803
2026-03-18 11:33:23,31,49.523202
2026-03-18 11:33:26,31,49.959552
2026-03-18 11:33:28,31,49.767849
2026-03-18 11:33:30,31,49.842138
2026-03-18 11:33:32,31,49.809363
2026-03-18 11:33:34,31,49.896752
2026-03-18 11:33:36,31,50.000000
2026-03-18 11:33:38,31,49.955230
2026-03-18 11:33:40,31,49.900726
2026-03-18 11:33:42,31,49.745107
2026-03-18 11:33:44,31,49.632256
2026-03-18 11:33:46,31,49.848268
2026-03-18 11:33:48,31,49.928160
2026-03-18 11:33:50,31,50.000000
2026-03-18 11:33:52,31,49.965174
2026-03-18 11:33:54,31,50.000000
2026-03-18 11:33:56,31,49.855492
2026-03-18 11:33:58,31,49.733810
2026-03-18 11:34:00,31,49.775058
2026-03-18 11:34:02,31,49.819864
2026-03-18 11:34:04,31,50.000000
2026-03-18 11:34:06,31,49.805654
2026-03-18 11:34:08,31,50.000000
2026-03-18 11:34:11,31,49.794579
2026-03-18 11:34:13,31,50.000000
2026-03-18 11:34:15,31,50.000000
2026-03-18 11:34:17,31,49.932868
2026-03-18 11:34:19,31,49.954961
2026-03-18 11:34:21,31,49.845634
2026-03-18 11:34:23,31,50.000000
